                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.79757,                 2.0034,                 1.2139,                0.95761,                0.02797,                0.05622,                0.04806,                    nan,                    nan,                    nan,              0.0003466,              0.0003466,              0.0003466
                     69,                0.85426,                 2.0883,                   1.26,                0.43892,                0.08353,                 0.0961,                0.07659,                    nan,                    nan,                    nan,              0.0003367,              0.0003367,              0.0003367
                     70,                0.79196,                 2.0187,                  1.226,                0.74552,                0.02797,                0.03408,                0.03221,                    nan,                    nan,                    nan,              0.0003268,              0.0003268,              0.0003268
                     71,                0.76676,                 2.0248,                  1.199,                0.93158,                0.02797,                0.04481,                 0.0426,                    nan,                    nan,                    nan,              0.0003169,              0.0003169,              0.0003169
                     72,                0.78947,                 2.0042,                 1.2143,                0.75563,                0.02797,                0.04764,                0.04288,                    nan,                    nan,                    nan,               0.000307,               0.000307,               0.000307
                     73,                 0.7692,                  1.986,                 1.2018,                0.55514,                0.02797,                0.06266,                0.05948,                    nan,                    nan,                    nan,              0.0002971,              0.0002971,              0.0002971
                     74,                0.79021,                 2.0278,                 1.2161,                0.94936,                0.02797,                0.04803,                0.04803,                    nan,                    nan,                    nan,              0.0002872,              0.0002872,              0.0002872
                     75,                0.77492,                 1.9904,                 1.1868,                0.93675,                0.02797,                0.04875,                0.04623,                    nan,                    nan,                    nan,              0.0002773,              0.0002773,              0.0002773
                     76,                0.77231,                 1.9858,                 1.1882,                0.76932,                0.02797,                0.05188,                0.04905,                    nan,                    nan,                    nan,              0.0002674,              0.0002674,              0.0002674
                     77,                0.78341,                  2.012,                 1.1965,                 0.9631,                0.02797,                0.05193,                0.04674,                    nan,                    nan,                    nan,              0.0002575,              0.0002575,              0.0002575
                     78,                0.78655,                 2.0199,                 1.2294,                0.93148,                0.02797,                0.04562,                0.04106,                    nan,                    nan,                    nan,              0.0002476,              0.0002476,              0.0002476
                     79,                0.73912,                 1.9871,                 1.1824,                0.73784,                0.02797,                0.05837,                0.05253,                    nan,                    nan,                    nan,              0.0002377,              0.0002377,              0.0002377
                     80,                0.75163,                 1.9462,                 1.1912,                0.80363,                0.08353,                0.09977,                0.08375,                    nan,                    nan,                    nan,              0.0002278,              0.0002278,              0.0002278
                     81,                0.71909,                 1.9126,                 1.1671,                0.92787,                0.02797,                0.05629,                0.05629,                    nan,                    nan,                    nan,              0.0002179,              0.0002179,              0.0002179
                     82,                0.76851,                 1.9689,                 1.1874,                 0.7344,                0.02797,                0.06266,                0.05639,                    nan,                    nan,                    nan,               0.000208,               0.000208,               0.000208
                     83,                0.77036,                 1.9435,                 1.2048,                0.72644,                0.02797,                 0.0588,                0.05571,                    nan,                    nan,                    nan,              0.0001981,              0.0001981,              0.0001981
                     84,                0.74384,                 1.9341,                 1.1793,                0.93542,                0.02797,                0.04678,                0.04413,                    nan,                    nan,                    nan,              0.0001882,              0.0001882,              0.0001882
                     85,                0.74504,                 1.9519,                 1.1817,                0.69159,                0.02797,                0.05193,                0.05193,                    nan,                    nan,                    nan,              0.0001783,              0.0001783,              0.0001783
                     86,                0.73231,                 1.9649,                 1.1854,                0.87589,                0.02797,                 0.0444,                0.04198,                    nan,                    nan,                    nan,              0.0001684,              0.0001684,              0.0001684
